;Data;Sinal de Compra (MACD);Compra_MACD_1;Compra_MACD_2;Compra_MACD_3;Compra_MACD_5;Compra_MACD_7;Compra_MACD_9;Compra_MACD_14;Compra_MACD_21
1298;2016-02-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1297;2016-02-29;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1296;2016-03-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1295;2016-03-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1294;2016-03-03;1;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
1293;2016-03-04;0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
1292;2016-03-07;0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
1291;2016-03-08;0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
1290;2016-03-09;0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
1289;2016-03-10;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1288;2016-03-11;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1287;2016-03-14;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1286;2016-03-15;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1285;2016-03-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1284;2016-03-17;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1283;2016-03-18;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1282;2016-03-21;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1281;2016-03-22;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1280;2016-03-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1279;2016-03-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1278;2016-03-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1277;2016-03-29;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1276;2016-03-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1275;2016-03-31;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1274;2016-04-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1273;2016-04-04;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1272;2016-04-05;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1271;2016-04-06;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1270;2016-04-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1269;2016-04-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1268;2016-04-11;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1267;2016-04-12;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1266;2016-04-13;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1265;2016-04-14;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1264;2016-04-15;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1263;2016-04-18;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1262;2016-04-19;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1261;2016-04-20;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1260;2016-04-22;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1259;2016-04-25;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1258;2016-04-26;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1257;2016-04-27;1;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0
1256;2016-04-28;0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0
1255;2016-04-29;0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;2.0
1254;2016-05-02;0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0
1253;2016-05-03;0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0
1252;2016-05-04;0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0
1251;2016-05-05;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0
1250;2016-05-06;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1249;2016-05-09;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1248;2016-05-10;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1247;2016-05-11;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1246;2016-05-12;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1245;2016-05-13;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1244;2016-05-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1243;2016-05-17;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1242;2016-05-18;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1241;2016-05-19;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1240;2016-05-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1239;2016-05-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1238;2016-05-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1237;2016-05-25;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1236;2016-05-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1235;2016-05-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1234;2016-05-31;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1233;2016-06-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1232;2016-06-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1231;2016-06-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1230;2016-06-06;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1229;2016-06-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1228;2016-06-08;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1227;2016-06-09;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1226;2016-06-10;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1225;2016-06-13;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1224;2016-06-14;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1223;2016-06-15;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1222;2016-06-16;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1221;2016-06-17;1;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0
1220;2016-06-20;0;0.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0
1219;2016-06-21;0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;2.0
1218;2016-06-22;0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0
1217;2016-06-23;0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0
1216;2016-06-24;0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0
1215;2016-06-27;0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0
1214;2016-06-28;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1213;2016-06-29;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1212;2016-06-30;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1211;2016-07-01;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1210;2016-07-04;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1209;2016-07-05;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1208;2016-07-06;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
1207;2016-07-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1206;2016-07-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1205;2016-07-11;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1204;2016-07-12;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1203;2016-07-13;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1202;2016-07-14;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1201;2016-07-15;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1200;2016-07-18;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1199;2016-07-19;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1198;2016-07-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1197;2016-07-21;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1196;2016-07-22;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1195;2016-07-25;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1194;2016-07-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1193;2016-07-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1192;2016-07-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1191;2016-07-29;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1190;2016-08-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1189;2016-08-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1188;2016-08-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1187;2016-08-04;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1186;2016-08-05;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1185;2016-08-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1184;2016-08-09;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1183;2016-08-10;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1182;2016-08-11;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1181;2016-08-12;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1180;2016-08-15;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1179;2016-08-16;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1178;2016-08-17;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1177;2016-08-18;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1176;2016-08-19;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1175;2016-08-22;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1174;2016-08-23;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1173;2016-08-24;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1172;2016-08-25;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1171;2016-08-26;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1170;2016-08-29;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1169;2016-08-30;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1168;2016-08-31;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1167;2016-09-01;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1166;2016-09-02;1;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0
1165;2016-09-05;0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0
1164;2016-09-06;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0
1163;2016-09-08;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0
1162;2016-09-09;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0
1161;2016-09-12;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0
1160;2016-09-13;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0
1159;2016-09-14;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1158;2016-09-15;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0
1157;2016-09-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1156;2016-09-19;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1155;2016-09-20;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1154;2016-09-21;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1153;2016-09-22;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1152;2016-09-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1151;2016-09-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1150;2016-09-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1149;2016-09-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1148;2016-09-29;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1147;2016-09-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1146;2016-10-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1145;2016-10-04;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1144;2016-10-05;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1143;2016-10-06;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1142;2016-10-07;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1141;2016-10-10;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1140;2016-10-11;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1139;2016-10-13;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1138;2016-10-14;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1137;2016-10-17;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1136;2016-10-18;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1135;2016-10-19;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1134;2016-10-20;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1133;2016-10-21;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1132;2016-10-24;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1131;2016-10-25;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1130;2016-10-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1129;2016-10-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1128;2016-10-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1127;2016-10-31;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1126;2016-11-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1125;2016-11-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1124;2016-11-04;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1123;2016-11-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1122;2016-11-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1121;2016-11-09;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1120;2016-11-10;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1119;2016-11-11;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1118;2016-11-14;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1117;2016-11-16;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1116;2016-11-17;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1115;2016-11-18;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1114;2016-11-21;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1113;2016-11-22;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1112;2016-11-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1111;2016-11-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1110;2016-11-25;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1109;2016-11-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1108;2016-11-29;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1107;2016-11-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1106;2016-12-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1105;2016-12-02;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1104;2016-12-05;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1103;2016-12-06;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1102;2016-12-07;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1101;2016-12-08;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1100;2016-12-09;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1099;2016-12-12;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1098;2016-12-13;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1097;2016-12-14;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1096;2016-12-15;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1095;2016-12-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1094;2016-12-19;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1093;2016-12-20;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1092;2016-12-21;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1091;2016-12-22;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1090;2016-12-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1089;2016-12-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1088;2016-12-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1087;2016-12-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1086;2016-12-29;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
1085;2017-01-02;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
1084;2017-01-03;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1083;2017-01-04;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1082;2017-01-05;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1081;2017-01-06;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1080;2017-01-09;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1079;2017-01-10;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1078;2017-01-11;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1077;2017-01-12;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1076;2017-01-13;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1075;2017-01-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1074;2017-01-17;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1073;2017-01-18;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1072;2017-01-19;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1071;2017-01-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1070;2017-01-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1069;2017-01-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1068;2017-01-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1067;2017-01-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1066;2017-01-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1065;2017-01-31;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1064;2017-02-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1063;2017-02-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1062;2017-02-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1061;2017-02-06;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1060;2017-02-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1059;2017-02-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1058;2017-02-09;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1057;2017-02-10;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1056;2017-02-13;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1055;2017-02-14;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1054;2017-02-15;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1053;2017-02-16;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1052;2017-02-17;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1051;2017-02-20;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
